Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,HIGH_TEMP,LOW_TEMP,AVG_TEMP
1/31/15,60750005,3,8.1,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,74,48,61
2/1/15,60750005,3,14.8,ug/m3 LC,57,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,46,55
2/2/15,60750005,3,26.6,ug/m3 LC,81,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,49,57.5
2/3/15,60750005,3,16.4,ug/m3 LC,60,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,52,58.5
2/4/15,60750005,3,23,ug/m3 LC,74,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,50,57
2/5/15,60750005,3,8.2,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,53,58.5
2/6/15,60750005,3,3.7,ug/m3 LC,15,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,55,61
2/7/15,60750005,3,6.2,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,59,62
2/8/15,60750005,3,4.2,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,57,61
2/9/15,60750005,3,10.3,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,54,59
2/10/15,60750005,3,7,ug/m3 LC,29,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,48,56
2/11/15,60750005,3,8.6,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,48,57.5
2/12/15,60750005,3,9.1,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,73,51,62
2/13/15,60750005,3,11.8,ug/m3 LC,49,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,69,52,60.5
2/14/15,60750005,3,13.3,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,73,52,62.5
2/15/15,60750005,3,10.9,ug/m3 LC,45,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,75,51,63
2/16/15,60750005,3,12.2,ug/m3 LC,51,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,68,51,59.5
