Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/3/16 19:00,2016,1,3,19,217,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/3/16 20:00,2016,1,3,20,217,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/3/16 21:00,2016,1,3,21,229,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/3/16 22:00,2016,1,3,22,239,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/3/16 23:00,2016,1,3,23,243,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 0:00,2016,1,4,0,251,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 1:00,2016,1,4,1,231,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 2:00,2016,1,4,2,70,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 3:00,2016,1,4,3,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 4:00,2016,1,4,4,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 5:00,2016,1,4,5,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 6:00,2016,1,4,6,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 7:00,2016,1,4,7,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 8:00,2016,1,4,8,6,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 9:00,2016,1,4,9,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 10:00,2016,1,4,10,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 11:00,2016,1,4,11,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 12:00,2016,1,4,12,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 13:00,2016,1,4,13,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 14:00,2016,1,4,14,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 15:00,2016,1,4,15,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 16:00,2016,1,4,16,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 17:00,2016,1,4,17,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 18:00,2016,1,4,18,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 19:00,2016,1,4,19,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 20:00,2016,1,4,20,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 21:00,2016,1,4,21,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/4/16 22:00,2016,1,4,22,12,µg/m_,1 Hr,Valid
